==================================================
MICRO-515 Challenge 1a - Evaluation Results
==================================================

Controller type : NeuralNetworkController
Checkpoint      : best_folder
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:    3489.21
  Episode   2:    3554.78
  Episode   3:    3669.48
  Episode   4:    3539.10
  Episode   5:    3573.46
  Episode   6:    3630.55
  Episode   7:    3657.14
  Episode   8:    3522.70
  Episode   9:    3410.58
  Episode  10:    3579.03
  Episode  11:    3595.40
  Episode  12:    3566.75
  Episode  13:    3598.35
  Episode  14:    3681.74
  Episode  15:    3625.89
  Episode  16:    3541.35
  Episode  17:    3658.21
  Episode  18:    3541.09
  Episode  19:    3599.39
  Episode  20:    3647.60
  Episode  21:    3640.31
  Episode  22:    3358.12
  Episode  23:    3595.63
  Episode  24:    3672.95
  Episode  25:    3553.98
  Episode  26:    1669.26
  Episode  27:    3600.74
  Episode  28:    3717.30
  Episode  29:    3807.52
  Episode  30:    3621.37
  Episode  31:    3652.31
  Episode  32:    3583.64
  Episode  33:    3466.66
  Episode  34:    3472.54
  Episode  35:    3631.30
  Episode  36:    3545.81
  Episode  37:    3533.61
  Episode  38:    3456.51
  Episode  39:    3487.67
  Episode  40:    3579.18
  Episode  41:    3492.71
  Episode  42:    3609.52
  Episode  43:    3492.88
  Episode  44:    3477.21
  Episode  45:    3399.57
  Episode  46:    3603.17
  Episode  47:    3564.28
  Episode  48:    3583.63
  Episode  49:    3627.01
  Episode  50:    3679.08
  Episode  51:    3630.45
  Episode  52:    3623.38
  Episode  53:    3448.84
  Episode  54:    3435.39
  Episode  55:    3800.95
  Episode  56:    3613.39
  Episode  57:    3580.69
  Episode  58:    3426.00
  Episode  59:    3616.38
  Episode  60:    3426.46
  Episode  61:    3418.40
  Episode  62:    3583.97
  Episode  63:    3587.00
  Episode  64:    3572.40
  Episode  65:    3423.21
  Episode  66:    3441.44
  Episode  67:    3601.62
  Episode  68:    3670.72
  Episode  69:    3602.42
  Episode  70:    3549.39
  Episode  71:    3607.34
  Episode  72:    3335.66
  Episode  73:    3555.20
  Episode  74:    3654.19
  Episode  75:    3463.37
  Episode  76:    3700.37
  Episode  77:    3456.67
  Episode  78:    3482.66
  Episode  79:    3399.81
  Episode  80:    3714.91
  Episode  81:    3545.44
  Episode  82:    3604.70
  Episode  83:    3754.02
  Episode  84:    3634.10
  Episode  85:    3494.56
  Episode  86:    3516.96
  Episode  87:    3417.08
  Episode  88:    3618.28
  Episode  89:    3458.80
  Episode  90:    3636.53
  Episode  91:    3599.05
  Episode  92:    3715.87
  Episode  93:    3642.12
  Episode  94:    3568.25
  Episode  95:    3499.52
  Episode  96:    3665.00
  Episode  97:    3672.57
  Episode  98:    3629.52
  Episode  99:    3473.50
  Episode 100:    2383.03
  Episode 101:    3590.57
  Episode 102:    3665.93
  Episode 103:    3758.76
  Episode 104:    3557.09
  Episode 105:    3651.38
  Episode 106:    3677.23
  Episode 107:    3700.24
  Episode 108:    3627.71
  Episode 109:    3488.28
  Episode 110:    3730.35
  Episode 111:     426.12
  Episode 112:    3468.07
  Episode 113:    3729.58
  Episode 114:    3514.69
  Episode 115:    3551.17
  Episode 116:    3773.47
  Episode 117:    3521.19
  Episode 118:    3459.15
  Episode 119:    3495.07
  Episode 120:    3636.69
  Episode 121:    3457.77
  Episode 122:    3561.49
  Episode 123:    3674.77
  Episode 124:    3631.60
  Episode 125:    3572.09
  Episode 126:    3608.83
  Episode 127:    3607.23
  Episode 128:    3303.40
  Episode 129:      13.74
  Episode 130:    3561.81
  Episode 131:    3503.22
  Episode 132:    3477.85
  Episode 133:    3512.25
  Episode 134:    3563.59
  Episode 135:    3475.49
  Episode 136:    3555.88
  Episode 137:    3471.57
  Episode 138:    3595.83
  Episode 139:    3491.00
  Episode 140:    3528.93
  Episode 141:    3489.99
  Episode 142:    3612.92
  Episode 143:    3601.03
  Episode 144:    3530.84
  Episode 145:    3684.46
  Episode 146:    3729.15
  Episode 147:    3466.42
  Episode 148:    3537.03
  Episode 149:    3428.11
  Episode 150:    3617.04
  Episode 151:    3620.44
  Episode 152:    3550.84
  Episode 153:    3753.31
  Episode 154:    3594.37
  Episode 155:    3644.61
  Episode 156:    3641.71
  Episode 157:      43.82
  Episode 158:    3598.65
  Episode 159:    3560.85
  Episode 160:    3446.20
  Episode 161:    3533.88
  Episode 162:    3625.20
  Episode 163:    3655.32
  Episode 164:    3515.19
  Episode 165:    3560.96
  Episode 166:    3628.88
  Episode 167:    3544.99
  Episode 168:    3534.70
  Episode 169:    3368.62
  Episode 170:    3531.06
  Episode 171:    3534.62
  Episode 172:    3775.04
  Episode 173:    3433.73
  Episode 174:    3587.57
  Episode 175:    3574.33
  Episode 176:    3576.06
  Episode 177:    3678.10
  Episode 178:    3367.90
  Episode 179:    3471.58
  Episode 180:    3347.83
  Episode 181:    3541.18
  Episode 182:    3433.10
  Episode 183:    3568.80
  Episode 184:    3656.07
  Episode 185:    3749.62
  Episode 186:    3587.55
  Episode 187:    3648.55
  Episode 188:    3522.58
  Episode 189:    3609.45
  Episode 190:    3494.46
  Episode 191:    3563.28
  Episode 192:    3593.75
  Episode 193:    3496.28
  Episode 194:    3539.73
  Episode 195:    3567.95
  Episode 196:    3698.29
  Episode 197:    3568.25
  Episode 198:    3530.09
  Episode 199:    3616.15
  Episode 200:    3600.79
  Episode 201:    3478.79
  Episode 202:    3286.87
  Episode 203:    3421.09
  Episode 204:    3474.59
  Episode 205:    3484.22
  Episode 206:    3622.57
  Episode 207:    3562.79
  Episode 208:    3519.10
  Episode 209:    3505.34
  Episode 210:    2413.35
  Episode 211:    3465.83
  Episode 212:    3697.18
  Episode 213:    3678.75
  Episode 214:    3744.12
  Episode 215:    3613.83
  Episode 216:    3648.62
  Episode 217:    3695.86
  Episode 218:    3603.52
  Episode 219:    3760.84
  Episode 220:    3680.62
  Episode 221:    3682.05
  Episode 222:    3612.34
  Episode 223:    3656.53
  Episode 224:    3384.64
  Episode 225:    3515.34
  Episode 226:    1768.57
  Episode 227:    3455.18
  Episode 228:    3551.06
  Episode 229:    3592.08
  Episode 230:    3623.57
  Episode 231:    3590.45
  Episode 232:    3521.06
  Episode 233:    3386.86
  Episode 234:    3547.26
  Episode 235:    3589.71
  Episode 236:    3323.72
  Episode 237:    3432.82
  Episode 238:    3597.15
  Episode 239:    3675.11
  Episode 240:    3579.45
  Episode 241:    3716.83
  Episode 242:    3492.09
  Episode 243:    3599.86
  Episode 244:    3564.00
  Episode 245:    3570.84
  Episode 246:    3631.75
  Episode 247:    3580.06
  Episode 248:    3670.57
  Episode 249:    3503.30
  Episode 250:    3539.37
  Episode 251:    3599.00
  Episode 252:    3542.90
  Episode 253:    3383.30
  Episode 254:    3567.02
  Episode 255:    3550.14
  Episode 256:    3685.25
--------------------------------------------------

MEAN SCORE : 3504.77
STD        : 422.97
MIN        : 13.74
MAX        : 3807.52

Video episode reward: 3604.58
